"subject"	"species"	"strain_num_OP"	"strain_num_BA"	"strain_overlap_num"	"OP>BA"	"OP<BA"	"reads_BALF"	"reads_OP"	"reads_BALF_un"	"reads_OP_un"
"129"	"LG09"	"Streptococcus.oralis"	1	1	0	0	0	6201	93835	837	16915
"130"	"LG09"	"Veillonella.atypica"	2	0	0	1	0	6915	223288	4296	137149
"131"	"LG09"	"Veillonella.dispar"	2	2	2	0	0	76608	3024782	32541	1265159
"132"	"LG09"	"Veillonella.parvula"	3	0	0	1	0	8962	416483	4529	208348
"135"	"LG10"	"Haemophilus.parainfluenzae"	2	2	2	0	0	36374	7521410	31068	6353114
"136"	"LG10"	"Mycoplasma.pneumoniae"	0	2	0	0	1	1529	0	1512	0
"137"	"LG10"	"Prevotella.melaninogenica"	3	2	2	1	0	17927	15346820	14555	11691928
"140"	"LG10"	"Schaalia.odontolytica"	3	2	2	1	0	7083	3911673	6224	3587114
"142"	"LG10"	"Veillonella.atypica"	2	2	2	0	0	8483	1782568	6349	1195370
"143"	"LG10"	"Veillonella.dispar"	2	2	2	0	0	11743	3281706	6439	1549562
"144"	"LG10"	"Veillonella.parvula"	3	3	3	0	0	14845	1970899	9768	1142537
"147"	"LG12"	"Haemophilus.parainfluenzae"	2	2	1	0	0	31197	7673048	27287	6694131
"148"	"LG12"	"Mycoplasma.pneumoniae"	0	1	0	0	1	9361	0	9318	11
"149"	"LG12"	"Prevotella.melaninogenica"	2	0	0	1	0	4652	3857299	4461	3541234
"151"	"LG12"	"Rothia.mucilaginosa"	2	2	2	0	0	50858	16894380	50032	16682079
"152"	"LG12"	"Schaalia.odontolytica"	3	1	1	1	0	27063	6627754	25122	6182277
"154"	"LG12"	"Veillonella.atypica"	0	2	0	0	1	18554	1918042	12585	1180854
"155"	"LG12"	"Veillonella.dispar"	0	2	0	0	1	12888	1143143	5977	464827
"156"	"LG12"	"Veillonella.parvula"	5	5	5	0	0	21555	745799	12436	383126
"159"	"LG14"	"Haemophilus.parainfluenzae"	1	1	0	0	0	69193	4165279	60651	3651872
"160"	"LG14"	"Mycoplasma.pneumoniae"	0	1	0	0	1	321	0	325	0
"161"	"LG14"	"Prevotella.melaninogenica"	2	1	1	1	0	31839	7614234	23427	5773153
"163"	"LG14"	"Rothia.mucilaginosa"	1	2	1	0	1	6736	2936156	6660	2908094
