"subject"	"species"	"sample_type"	"Freq"
"323"	"LG05"	"Veillonella.atypica"	"BA"	2
"326"	"LG10"	"Veillonella.atypica"	"BA"	2
"328"	"LG12"	"Veillonella.atypica"	"BA"	2
"329"	"LG13"	"Veillonella.atypica"	"BA"	2
"331"	"LG15"	"Veillonella.atypica"	"BA"	2
"333"	"LG17"	"Veillonella.atypica"	"BA"	2
"335"	"LG24"	"Veillonella.atypica"	"BA"	2
"336"	"LG25"	"Veillonella.atypica"	"BA"	2
"337"	"LG26"	"Veillonella.atypica"	"BA"	2
"345"	"HZ30"	"Veillonella.dispar"	"BA"	2
"351"	"HZ36"	"Veillonella.dispar"	"BA"	2
"353"	"LG01"	"Veillonella.dispar"	"BA"	2
"354"	"LG02"	"Veillonella.dispar"	"BA"	2
"355"	"LG03"	"Veillonella.dispar"	"BA"	2
"356"	"LG04"	"Veillonella.dispar"	"BA"	2
"357"	"LG05"	"Veillonella.dispar"	"BA"	1
"359"	"LG09"	"Veillonella.dispar"	"BA"	2
"360"	"LG10"	"Veillonella.dispar"	"BA"	2
"361"	"LG11"	"Veillonella.dispar"	"BA"	2
"362"	"LG12"	"Veillonella.dispar"	"BA"	2
"363"	"LG13"	"Veillonella.dispar"	"BA"	2
"365"	"LG15"	"Veillonella.dispar"	"BA"	2
"367"	"LG17"	"Veillonella.dispar"	"BA"	1
"368"	"LG19"	"Veillonella.dispar"	"BA"	1
"369"	"LG24"	"Veillonella.dispar"	"BA"	2
"370"	"LG25"	"Veillonella.dispar"	"BA"	1
"376"	"HZ21"	"Veillonella.parvula"	"BA"	1
"377"	"HZ22"	"Veillonella.parvula"	"BA"	2
"378"	"HZ23"	"Veillonella.parvula"	"BA"	5
"379"	"HZ30"	"Veillonella.parvula"	"BA"	3
"382"	"HZ33"	"Veillonella.parvula"	"BA"	2
"385"	"HZ36"	"Veillonella.parvula"	"BA"	3
"387"	"LG01"	"Veillonella.parvula"	"BA"	5
"388"	"LG02"	"Veillonella.parvula"	"BA"	1
"389"	"LG03"	"Veillonella.parvula"	"BA"	5
"390"	"LG04"	"Veillonella.parvula"	"BA"	3
"391"	"LG05"	"Veillonella.parvula"	"BA"	5
"394"	"LG10"	"Veillonella.parvula"	"BA"	3
"396"	"LG12"	"Veillonella.parvula"	"BA"	5
"397"	"LG13"	"Veillonella.parvula"	"BA"	2
"399"	"LG15"	"Veillonella.parvula"	"BA"	5
"401"	"LG17"	"Veillonella.parvula"	"BA"	2
"402"	"LG19"	"Veillonella.parvula"	"BA"	2
"403"	"LG24"	"Veillonella.parvula"	"BA"	2
"404"	"LG25"	"Veillonella.parvula"	"BA"	5
"407"	"LG28"	"Veillonella.parvula"	"BA"	5
"408"	"LG29"	"Veillonella.parvula"	"BA"	1
"414"	"HZ31"	"Acinetobacter.baumannii"	"OP"	2
"444"	"HZ21"	"Enterococcus.faecium"	"OP"	3
"448"	"HZ31"	"Enterococcus.faecium"	"OP"	2
"477"	"HZ20"	"Haemophilus.parainfluenzae"	"OP"	2
"483"	"HZ32"	"Haemophilus.parainfluenzae"	"OP"	4
"484"	"HZ33"	"Haemophilus.parainfluenzae"	"OP"	3
"485"	"HZ34"	"Haemophilus.parainfluenzae"	"OP"	1
"487"	"HZ36"	"Haemophilus.parainfluenzae"	"OP"	1
"488"	"HZ37"	"Haemophilus.parainfluenzae"	"OP"	1
"490"	"LG02"	"Haemophilus.parainfluenzae"	"OP"	3
"491"	"LG03"	"Haemophilus.parainfluenzae"	"OP"	1
"492"	"LG04"	"Haemophilus.parainfluenzae"	"OP"	1
"493"	"LG05"	"Haemophilus.parainfluenzae"	"OP"	1
"494"	"LG07"	"Haemophilus.parainfluenzae"	"OP"	2
"495"	"LG09"	"Haemophilus.parainfluenzae"	"OP"	3
"496"	"LG10"	"Haemophilus.parainfluenzae"	"OP"	2
"498"	"LG12"	"Haemophilus.parainfluenzae"	"OP"	2
"500"	"LG14"	"Haemophilus.parainfluenzae"	"OP"	1
"501"	"LG15"	"Haemophilus.parainfluenzae"	"OP"	1
"504"	"LG19"	"Haemophilus.parainfluenzae"	"OP"	3
"505"	"LG24"	"Haemophilus.parainfluenzae"	"OP"	5
"506"	"LG25"	"Haemophilus.parainfluenzae"	"OP"	1
"508"	"LG27"	"Haemophilus.parainfluenzae"	"OP"	1
"509"	"LG28"	"Haemophilus.parainfluenzae"	"OP"	1
"537"	"LG17"	"Mycoplasma.pneumoniae"	"OP"	1
"541"	"LG26"	"Mycoplasma.pneumoniae"	"OP"	1
"545"	"HZ20"	"Prevotella.melaninogenica"	"OP"	1
"548"	"HZ23"	"Prevotella.melaninogenica"	"OP"	2
"549"	"HZ30"	"Prevotella.melaninogenica"	"OP"	3
"551"	"HZ32"	"Prevotella.melaninogenica"	"OP"	4
"552"	"HZ33"	"Prevotella.melaninogenica"	"OP"	4
"553"	"HZ34"	"Prevotella.melaninogenica"	"OP"	1
"556"	"HZ37"	"Prevotella.melaninogenica"	"OP"	1
"558"	"LG02"	"Prevotella.melaninogenica"	"OP"	4
"559"	"LG03"	"Prevotella.melaninogenica"	"OP"	1
"560"	"LG04"	"Prevotella.melaninogenica"	"OP"	1
"561"	"LG05"	"Prevotella.melaninogenica"	"OP"	4
"562"	"LG07"	"Prevotella.melaninogenica"	"OP"	4
"563"	"LG09"	"Prevotella.melaninogenica"	"OP"	2
"564"	"LG10"	"Prevotella.melaninogenica"	"OP"	3
"565"	"LG11"	"Prevotella.melaninogenica"	"OP"	1
"566"	"LG12"	"Prevotella.melaninogenica"	"OP"	2
"567"	"LG13"	"Prevotella.melaninogenica"	"OP"	3
"568"	"LG14"	"Prevotella.melaninogenica"	"OP"	2
"569"	"LG15"	"Prevotella.melaninogenica"	"OP"	3
"570"	"LG16"	"Prevotella.melaninogenica"	"OP"	4
"571"	"LG17"	"Prevotella.melaninogenica"	"OP"	3
"572"	"LG19"	"Prevotella.melaninogenica"	"OP"	2
"573"	"LG24"	"Prevotella.melaninogenica"	"OP"	3
"574"	"LG25"	"Prevotella.melaninogenica"	"OP"	2
"575"	"LG26"	"Prevotella.melaninogenica"	"OP"	2
"576"	"LG27"	"Prevotella.melaninogenica"	"OP"	2
"581"	"HZ22"	"Prevotella.nigrescens"	"OP"	1
"585"	"HZ32"	"Prevotella.nigrescens"	"OP"	4
"586"	"HZ33"	"Prevotella.nigrescens"	"OP"	4
"595"	"LG05"	"Prevotella.nigrescens"	"OP"	2
"605"	"LG17"	"Prevotella.nigrescens"	"OP"	1
"613"	"HZ20"	"Rothia.mucilaginosa"	"OP"	2
"615"	"HZ22"	"Rothia.mucilaginosa"	"OP"	2
"617"	"HZ30"	"Rothia.mucilaginosa"	"OP"	2
"618"	"HZ31"	"Rothia.mucilaginosa"	"OP"	1
"619"	"HZ32"	"Rothia.mucilaginosa"	"OP"	2
"620"	"HZ33"	"Rothia.mucilaginosa"	"OP"	1
"621"	"HZ34"	"Rothia.mucilaginosa"	"OP"	5
"623"	"HZ36"	"Rothia.mucilaginosa"	"OP"	1
"624"	"HZ37"	"Rothia.mucilaginosa"	"OP"	1
"626"	"LG02"	"Rothia.mucilaginosa"	"OP"	2
"627"	"LG03"	"Rothia.mucilaginosa"	"OP"	1
"629"	"LG05"	"Rothia.mucilaginosa"	"OP"	2
"630"	"LG07"	"Rothia.mucilaginosa"	"OP"	2
"631"	"LG09"	"Rothia.mucilaginosa"	"OP"	2
"633"	"LG11"	"Rothia.mucilaginosa"	"OP"	1
"634"	"LG12"	"Rothia.mucilaginosa"	"OP"	2
"635"	"LG13"	"Rothia.mucilaginosa"	"OP"	2
"636"	"LG14"	"Rothia.mucilaginosa"	"OP"	1
"637"	"LG15"	"Rothia.mucilaginosa"	"OP"	2
"638"	"LG16"	"Rothia.mucilaginosa"	"OP"	2
"639"	"LG17"	"Rothia.mucilaginosa"	"OP"	1
"640"	"LG19"	"Rothia.mucilaginosa"	"OP"	2
"641"	"LG24"	"Rothia.mucilaginosa"	"OP"	1
"642"	"LG25"	"Rothia.mucilaginosa"	"OP"	2
"644"	"LG27"	"Rothia.mucilaginosa"	"OP"	2
"645"	"LG28"	"Rothia.mucilaginosa"	"OP"	1
"647"	"HZ20"	"Schaalia.odontolytica"	"OP"	2
"649"	"HZ22"	"Schaalia.odontolytica"	"OP"	1
"650"	"HZ23"	"Schaalia.odontolytica"	"OP"	2
"651"	"HZ30"	"Schaalia.odontolytica"	"OP"	1
"653"	"HZ32"	"Schaalia.odontolytica"	"OP"	3
"654"	"HZ33"	"Schaalia.odontolytica"	"OP"	2
"655"	"HZ34"	"Schaalia.odontolytica"	"OP"	1
"658"	"HZ37"	"Schaalia.odontolytica"	"OP"	1
"659"	"LG01"	"Schaalia.odontolytica"	"OP"	2
"660"	"LG02"	"Schaalia.odontolytica"	"OP"	1
"663"	"LG05"	"Schaalia.odontolytica"	"OP"	2
"664"	"LG07"	"Schaalia.odontolytica"	"OP"	2
"665"	"LG09"	"Schaalia.odontolytica"	"OP"	1
"666"	"LG10"	"Schaalia.odontolytica"	"OP"	3
"667"	"LG11"	"Schaalia.odontolytica"	"OP"	1
"668"	"LG12"	"Schaalia.odontolytica"	"OP"	3
"669"	"LG13"	"Schaalia.odontolytica"	"OP"	2
"671"	"LG15"	"Schaalia.odontolytica"	"OP"	2
"672"	"LG16"	"Schaalia.odontolytica"	"OP"	1
"673"	"LG17"	"Schaalia.odontolytica"	"OP"	1
"674"	"LG19"	"Schaalia.odontolytica"	"OP"	1
"675"	"LG24"	"Schaalia.odontolytica"	"OP"	1
"676"	"LG25"	"Schaalia.odontolytica"	"OP"	2
"679"	"LG28"	"Schaalia.odontolytica"	"OP"	1
"681"	"HZ20"	"Streptococcus.oralis"	"OP"	3
"684"	"HZ23"	"Streptococcus.oralis"	"OP"	1
"688"	"HZ33"	"Streptococcus.oralis"	"OP"	4
"691"	"HZ36"	"Streptococcus.oralis"	"OP"	1
"699"	"LG09"	"Streptococcus.oralis"	"OP"	1
"703"	"LG13"	"Streptococcus.oralis"	"OP"	1
"705"	"LG15"	"Streptococcus.oralis"	"OP"	1
"707"	"LG17"	"Streptococcus.oralis"	"OP"	2
"708"	"LG19"	"Streptococcus.oralis"	"OP"	1
